


whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo

jzhang@jzhangs-MacBook-Pro tmp2 % whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo
100%|█████████████████████████████████████| 1.51G/1.51G [03:59<00:00, 6.75MiB/s]
/opt/homebrew/lib/python3.11/site-packages/whisper/transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: Chinese
[00:00.000 --> 00:16.320] 各位道友大家好
[00:16.320 --> 00:25.440] 我们现在给大家讲一讲空心的修法
[00:25.440 --> 00:31.640] 因为我们很多人还不知道空心怎么修
[00:31.640 --> 00:36.700] 然后私家心 无家心修完了以后
[00:36.700 --> 00:40.340] 很多人就不知道要修什么
[00:40.340 --> 00:42.700] 然后很多人经常也问
[00:42.700 --> 00:47.720] 我们私家心 无家心修完了以后修什么
[00:47.720 --> 00:48.860] 经常都问
[00:48.860 --> 00:52.540] 那么今天我们就回答这个问题
[00:52.540 --> 00:57.160] 私家心和 这个首先大家要发菩提心
[00:57.160 --> 00:58.300] 发菩提心
[00:58.300 --> 01:04.280] 我们就是为了天下所有众生的利苦得勒
[01:04.280 --> 01:07.420] 下定决心 要成佛
[01:07.420 --> 01:12.060] 为了成佛来听这个内容
[01:12.060 --> 01:15.380] 就是这样子先大家发菩提心
[01:15.380 --> 01:17.360] 然后完了以后呢
[01:17.360 --> 01:22.680] 我们给大家就是讲这个怎么修
[01:22.680 --> 01:26.220] 是一个非常非常具体的一个修法
[01:26.220 --> 01:29.020] 是非常具体的修法
[01:29.020 --> 01:31.220] 然后这个修法呢
[01:31.220 --> 01:34.380] 它是这个属于
[01:34.380 --> 01:38.220] 属于这个大收音的这个修法
[01:38.220 --> 01:43.600] 其实大圆满跟禅宗也在这个里面的内容呢
[01:43.600 --> 01:45.940] 也在已经在包含在这个里面
[01:45.940 --> 01:49.020] 所以这个是非常非常神
[01:49.020 --> 01:50.020] 神奥
[01:50.020 --> 01:52.720] 所以呢就是这个修这样子的法
[01:52.720 --> 01:54.640] 那就需要关钉
[01:54.640 --> 01:55.960] 先关钉
[01:55.960 --> 01:57.780] 然后呢关完了钉
[01:57.780 --> 01:58.520] 以后呢
[01:58.520 --> 02:00.740] 还有一个呢不仅仅是关钉了
[02:00.740 --> 02:03.240] 还有就是这个私家性 无家性
[02:03.240 --> 02:08.180] 还有就是这个机制 这些全部一步一步的
[02:08.180 --> 02:11.740] 踏踏实实的修 修完了以后呢
[02:11.740 --> 02:15.080] 然后开始修这个法
[02:15.080 --> 02:18.460] 所以呢这个法就是一个特别特别重要的一个法
[02:18.460 --> 02:25.040] 那么这个从这个修法开始
[02:25.040 --> 02:29.040] 这个修的都叫做按诸修
[02:29.040 --> 02:31.200] 按诸修 按诸修
[02:31.200 --> 02:32.540] 就是不观察
[02:32.540 --> 02:33.960] 不观察
[02:33.960 --> 02:36.520] 然后之前的
[02:36.520 --> 02:40.260] 之前的这些很多的内容啊
[02:40.260 --> 02:43.120] 都叫做观察修
[02:43.120 --> 02:44.320] 观察修
[02:44.320 --> 02:45.640] 一边观察
[02:45.640 --> 02:47.500] 然后就是一边修
[02:47.500 --> 02:51.180] 整个的这个修行的过程当中
[02:51.180 --> 02:53.060] 就是立不开
[02:53.060 --> 02:55.360] 立不开这个观察
[02:55.360 --> 02:56.840] 立不开观察
[02:56.840 --> 03:03.800] 这个观察呢 就是禅宗讲的这个禅花头
[03:03.800 --> 03:07.780] 其实这个禅宗讲的禅花头
[03:07.780 --> 03:10.880] 实际上在藏传佛教里面
[03:10.880 --> 03:13.020] 这个就叫做观察修
[03:13.020 --> 03:16.580] 禅宗的这个大师们
[03:16.580 --> 03:20.920] 他们讲这个灿花头
[03:20.920 --> 03:25.460] 花头呢 就是禅宗的怪杖
[03:25.460 --> 03:26.460] 怪杖
[03:26.460 --> 03:29.920] 老人站起来就需要靠这个怪杖
[03:29.920 --> 03:31.560] 没有怪杖
[03:31.560 --> 03:33.380] 那就是起不来
[03:33.380 --> 03:35.660] 这个走不了
[03:35.660 --> 03:39.220] 那同样的这个只要没有这个花头啊
[03:39.220 --> 03:41.260] 这个这个这个花头的观察
[03:41.260 --> 03:42.720] 没有了以后呢
[03:42.720 --> 03:45.560] 然后就很容易啊
[03:45.560 --> 03:47.320] 就是落空啊
[03:47.320 --> 03:47.920] 落空
[03:47.920 --> 03:49.480] 落空是什么呢
[03:49.480 --> 03:54.980] 落空就是就是进入到这个机制的
[03:54.980 --> 03:57.020] 这个状态当中啊
[03:57.020 --> 03:58.620] 机制就修起来
[03:58.620 --> 04:01.800] 特别的就是平静
[04:01.800 --> 04:03.560] 非常的平静啊
[04:03.560 --> 04:04.640] 但是呢
[04:04.640 --> 04:06.640] 那这个里面就是没有物
[04:06.640 --> 04:07.920] 没有物啊
[04:07.920 --> 04:11.220] 所以就是这个光是修这个机制啊
[04:11.220 --> 04:12.360] 是没有用的
[04:12.360 --> 04:12.720] 所以呢
[04:12.720 --> 04:16.300] 人家这个禅宗的啊
[04:16.300 --> 04:18.600] 这些祖师大德门啊
[04:18.600 --> 04:21.740] 很早以前就发现了这个问题
[04:21.740 --> 04:24.180] 所以他非常非常的强调啊
[04:24.180 --> 04:28.020] 然后在藏传佛教的大约满大寿音里面呢
[04:28.020 --> 04:31.020] 他就是讲讲什么不叫残花头啊
[04:31.020 --> 04:31.980] 名字不一样
[04:31.980 --> 04:33.500] 实际上内容都一样
[04:33.500 --> 04:36.260] 那这个就叫做观察修啊
[04:36.260 --> 04:36.900] 观察修
[04:36.900 --> 04:38.520] 凡夫的观察啊
[04:38.520 --> 04:39.920] 道理都是一样
[04:39.920 --> 04:42.060] 如果没有这个观察啊
[04:42.060 --> 04:42.960] 没有这个观察
[04:42.960 --> 04:46.240] 那就是又是一个心很平静
[04:46.240 --> 04:48.200] 非常平静啊
[04:48.200 --> 04:50.220] 但是这个平静呢
[04:50.220 --> 04:50.980] 那这是一个
[04:50.980 --> 04:54.260] 这是一个机制的状态而已啊
[04:54.260 --> 04:55.580] 机制的状态而已
[04:55.580 --> 04:55.920] 这个
[04:55.920 --> 04:56.760] 这个
[04:56.760 --> 04:57.800] 这个
[04:57.800 --> 04:58.720] 啊
[04:58.720 --> 04:59.560] 机制呢
[04:59.560 --> 05:00.220] 我们
[05:00.220 --> 05:01.260] 这个
[05:01.260 --> 05:02.620] 之前啊
[05:02.620 --> 05:03.820] 也讲过啊
[05:03.820 --> 05:06.340] 有神度的机制和这个
[05:06.340 --> 05:08.640] 钱的机制啊
[05:08.640 --> 05:08.940] 啊
[05:08.940 --> 05:11.200] 那么神度的机制呢
[05:11.200 --> 05:11.600] 就是
[05:11.600 --> 05:13.500] 一进入了这个
[05:13.500 --> 05:13.920] 这个
[05:13.920 --> 05:14.180] 这个
[05:14.180 --> 05:16.280] 这个状态的时候呢
[05:16.280 --> 05:16.540] 然后
[05:16.540 --> 05:18.420] 眼耳逼色声啊
[05:18.420 --> 05:19.100] 全都
[05:19.100 --> 05:19.960] 也全都是
[05:19.960 --> 05:20.860] 就停滞了
[05:20.860 --> 05:21.700] 意思就是说
[05:21.700 --> 05:22.320] 眼睛啊
[05:22.320 --> 05:23.060] 也看不见
[05:23.060 --> 05:24.760] 耳朵也就听不见
[05:24.760 --> 05:26.520] 就大概就是啊
[05:26.520 --> 05:27.340] 进入了这个
[05:27.340 --> 05:29.620] 这个睡眠的状态啊
[05:29.620 --> 05:31.580] 差不多就是这样子的情况
[05:31.580 --> 05:32.380] 所以呢
[05:32.380 --> 05:33.060] 这个
[05:33.060 --> 05:33.100] 这个
[05:33.100 --> 05:34.580] 深度的这个
[05:34.580 --> 05:34.900] 这个
[05:34.900 --> 05:36.040] 这个禅秀啊
[05:36.040 --> 05:36.980] 深度的这个
[05:36.980 --> 05:37.520] 这个机制
[05:37.520 --> 05:38.340] 嗯
[05:38.340 --> 05:40.100] 偶尔游啊
[05:40.100 --> 05:41.440] 这个说明啊
[05:41.440 --> 05:43.020] 自己的这个
[05:43.020 --> 05:43.720] 这个
[05:43.720 --> 05:44.680] 这个机制
[05:44.680 --> 05:46.100] 修得不错啊
[05:46.100 --> 05:46.740] 修得不错
[05:46.740 --> 05:47.440] 但是呢
[05:47.440 --> 05:48.520] 经常啊
[05:48.520 --> 05:49.740] 那样子的话啊
[05:49.740 --> 05:50.840] 那就一定要
[05:50.840 --> 05:52.020] 被啊
[05:52.020 --> 05:53.300] 这个纠正啊
[05:53.300 --> 05:54.120] 这样子下去
[05:54.120 --> 05:56.280] 就是有危险的啊
[05:56.280 --> 05:57.200] 那最后就是
[05:57.200 --> 05:58.340] 镰空了啊
[05:58.340 --> 05:59.400] 镰空啊
[05:59.400 --> 06:00.040] 很长时间
[06:00.040 --> 06:00.640] 比如说
[06:00.640 --> 06:02.460] 大作自己就觉得
[06:02.460 --> 06:03.260] 只有一分钟
[06:03.260 --> 06:04.180] 两分钟的时间
[06:04.180 --> 06:05.460] 但实际上呢
[06:05.460 --> 06:05.900] 啊
[06:05.900 --> 06:07.240] 就是五个小时
[06:07.240 --> 06:08.420] 十个小时过去了
[06:08.420 --> 06:09.060] 但是呢
[06:09.060 --> 06:10.260] 没有这样子的
[06:10.260 --> 06:12.100] 时间的感觉啊
[06:12.100 --> 06:12.960] 那这个
[06:12.960 --> 06:14.320] 不是好啊
[06:14.320 --> 06:14.700] 不好
[06:14.700 --> 06:15.960] 因为这个里面呢
[06:15.960 --> 06:16.700] 没有觉悟
[06:16.700 --> 06:18.640] 没有证悟
[06:18.640 --> 06:19.600] 那反时
[06:19.600 --> 06:20.500] 没有证悟的
[06:20.500 --> 06:20.900] 这些
[06:20.900 --> 06:22.360] 这些境界啊
[06:22.360 --> 06:23.220] 就只能
[06:23.220 --> 06:24.720] 就暂时啊
[06:24.720 --> 06:25.580] 控制
[06:25.580 --> 06:26.440] 控制
[06:26.440 --> 06:27.440] 抑制住
[06:27.440 --> 06:28.800] 这个这个这个烦恼
[06:28.800 --> 06:29.820] 但是根本就没有
[06:29.820 --> 06:30.540] 解决烦恼
[06:30.540 --> 06:32.060] 所以这个是不对的
[06:32.060 --> 06:33.200] 所以在这个
